state,state_name,avg_jan_temp,avg_jan_sun,avg_jul_temp,avg_jul_hum,avg_topo_variation_score,avg_water_area,avg_amenity_scale,avg_amenity_class(1-7),state_amenity_rank
CA,California,0.958,0.69,2.167,0.936,1.36,0.618,6.729,6.259,1
AZ,Arizona,0.862,2.917,-0.648,2.072,0.565,-1.001,4.87,5.667,2
NV,Nevada,-0.197,1.46,0.683,2.633,0.518,-0.38,4.718,5.529,3
CO,Colorado,-0.687,1.666,1.196,1.662,0.888,-0.699,4.026,5.286,4
OR,Oregon,0.162,-1.921,2.711,1.395,1.358,0.075,3.78,5.139,5
NM,New Mexico,0.147,2.194,0.411,1.531,0.52,-1.293,3.536,5.03,6
UT,Utah,-0.59,-0.032,0.247,2.502,1.122,0.157,3.406,5.034,7
FL,Florida,2.08,1.389,0.659,-1.258,-1.12,1.192,2.943,4.806,8
WY,Wyoming,-1.031,0.58,0.905,1.69,1.206,-0.467,2.883,4.826,9
WA,Washington,-0.004,-2.71,2.34,1.225,1.181,0.745,2.777,4.667,10
ID,Idaho,-0.752,-1.396,1.088,2.324,1.067,-0.309,2.021,4.318,11
CT,Connecticut,-0.515,0.308,0.644,-0.591,0.891,1.058,1.796,4.25,12
RI,Rhode Island,-0.372,0.497,0.858,-0.753,-0.285,1.74,1.682,4.2,13
MT,Montana,-1.219,-0.781,0.801,1.771,1.067,-0.318,1.355,4.018,14
TX,Texas,1.081,0.936,-0.844,0.954,-0.529,-0.326,1.273,4.083,15
ME,Maine,-1.118,0.143,1.164,-1.207,0.464,1.387,0.833,3.812,16
MA,Massachusetts,-0.467,-0.325,0.826,-0.665,-0.057,1.43,0.742,3.786,17
OK,Oklahoma,0.457,0.865,-1.268,0.767,-0.383,0.147,0.586,3.714,18
NC,North Carolina,0.688,0.615,0.304,-1.316,-0.197,0.263,0.358,3.63,19
GA,Georgia,1.162,0.425,0.172,-1.104,-0.381,0.048,0.322,3.579,20
SC,South Carolina,1.036,0.767,-0.006,-1.166,-0.74,0.425,0.316,3.609,21
AL,Alabama,1.063,-0.288,-0.016,-0.766,0.132,0.12,0.246,3.567,22
NH,New Hampshire,-1.048,-0.422,0.748,-0.897,1.08,0.778,0.238,3.6,23
NJ,New Jersey,-0.148,0.022,0.05,-0.366,-0.314,0.904,0.149,3.571,24
TN,Tennessee,0.455,-0.625,0.061,-0.48,0.593,0.028,0.032,3.516,25
AR,Arkansas,0.649,-0.124,-0.642,-0.19,0.138,0.187,0.018,3.453,26
DE,Delaware,0.097,0.135,-0.02,-0.89,-0.992,1.666,-0.003,3.0,27
MD,Maryland,0.094,-0.088,0.062,-0.788,-0.544,1.195,-0.068,3.5,28
VA,Virginia,0.298,0.027,0.316,-0.951,0.153,-0.625,-0.094,3.419,29
PA,Pennsylvania,-0.405,-0.808,0.517,-0.413,0.972,-0.041,-0.178,3.403,30
MO,Missouri,-0.183,0.253,-0.693,0.044,0.49,-0.227,-0.317,3.339,31
LA,Louisiana,1.425,-0.412,-0.182,-0.9,-1.062,0.795,-0.336,3.375,32
MS,Mississippi,1.082,-0.086,-0.303,-0.667,-0.507,0.089,-0.391,3.232,33
VT,Vermont,-1.283,-0.785,0.568,-0.548,1.232,0.408,-0.409,3.214,34
KY,Kentucky,0.171,-0.688,0.005,-0.439,0.705,-0.215,-0.461,3.317,35
NY,New York,-0.777,-1.001,0.468,-0.492,0.388,0.838,-0.576,3.161,36
WV,West Virginia,-0.057,-1.377,0.677,-0.811,1.502,-0.528,-0.593,3.109,37
KS,Kansas,-0.212,0.979,-1.127,0.484,-0.459,-0.705,-1.041,3.048,38
MI,Michigan,-0.992,-1.382,0.783,-0.281,-0.572,1.035,-1.408,2.892,39
NE,Nebraska,-0.802,0.732,-0.809,0.121,-0.144,-0.545,-1.448,2.817,40
SD,South Dakota,-1.409,0.287,-0.78,0.629,-0.292,-0.03,-1.595,2.788,41
WI,Wisconsin,-1.436,-0.541,0.066,-0.307,-0.291,0.796,-1.713,2.625,42
OH,Ohio,-0.362,-1.116,0.307,-0.338,-0.13,-0.092,-1.731,2.659,43
IL,Illinois,-0.431,-0.39,-0.513,-0.164,-0.633,0.007,-2.122,2.51,44
IN,Indiana,-0.356,-0.777,-0.107,-0.27,-0.572,-0.2,-2.281,2.413,45
ND,North Dakota,-2.116,-0.123,-0.456,0.629,-0.571,0.14,-2.498,2.453,46
IA,Iowa,-1.125,0.08,-0.671,-0.196,-0.219,-0.475,-2.606,2.394,47
MN,Minnesota,-1.887,-0.264,-0.553,0.04,-0.651,0.438,-2.877,2.172,48
