state,state_name,latitude,longitude,avg_jan_temp,avg_jan_sun,avg_jul_temp,avg_jul_hum,avg_topo_variation_score,avg_water_area,avg_amenity_scale,avg_amenity_class(1-7),state_amenity_rank
CA,California,36.7783,-119.4179,0.958,0.69,2.167,0.936,1.36,0.618,6.729,6.259,1
AZ,Arizona,34.0489,-111.0937,0.862,2.917,-0.648,2.072,0.565,-1.001,4.87,5.667,2
NV,Nevada,38.8026,-116.4194,-0.197,1.46,0.683,2.633,0.518,-0.38,4.718,5.529,3
CO,Colorado,39.5501,-105.7821,-0.687,1.666,1.196,1.662,0.888,-0.699,4.026,5.286,4
OR,Oregon,43.8041,-120.5542,0.162,-1.921,2.711,1.395,1.358,0.075,3.78,5.139,5
NM,New Mexico,34.5199,-105.8701,0.147,2.194,0.411,1.531,0.52,-1.293,3.536,5.03,6
UT,Utah,39.321,-111.0937,-0.59,-0.032,0.247,2.502,1.122,0.157,3.406,5.034,7
FL,Florida,27.6648,-81.5158,2.08,1.389,0.659,-1.258,-1.12,1.192,2.943,4.806,8
WY,Wyoming,43.0759,-107.2903,-1.031,0.58,0.905,1.69,1.206,-0.467,2.883,4.826,9
WA,Washington,47.7511,-120.7401,-0.004,-2.71,2.34,1.225,1.181,0.745,2.777,4.667,10
ID,Idaho,44.0682,-114.742,-0.752,-1.396,1.088,2.324,1.067,-0.309,2.021,4.318,11
CT,Connecticut,41.6032,-73.0877,-0.515,0.308,0.644,-0.591,0.891,1.058,1.796,4.25,12
RI,Rhode Island,41.5801,-71.4774,-0.372,0.497,0.858,-0.753,-0.285,1.74,1.682,4.2,13
MT,Montana,46.8797,-110.3626,-1.219,-0.781,0.801,1.771,1.067,-0.318,1.355,4.018,14
TX,Texas,31.9686,-99.9018,1.081,0.936,-0.844,0.954,-0.529,-0.326,1.273,4.083,15
ME,Maine,45.2538,-69.4455,-1.118,0.143,1.164,-1.207,0.464,1.387,0.833,3.812,16
MA,Massachusetts,42.4072,-71.3824,-0.467,-0.325,0.826,-0.665,-0.057,1.43,0.742,3.786,17
OK,Oklahoma,35.0078,-97.0929,0.457,0.865,-1.268,0.767,-0.383,0.147,0.586,3.714,18
NC,North Carolina,35.7596,-79.0193,0.688,0.615,0.304,-1.316,-0.197,0.263,0.358,3.63,19
GA,Georgia,32.1656,-82.9001,1.162,0.425,0.172,-1.104,-0.381,0.048,0.322,3.579,20
SC,South Carolina,33.8361,-81.1637,1.036,0.767,-0.006,-1.166,-0.74,0.425,0.316,3.609,21
AL,Alabama,32.3182,-86.9023,1.063,-0.288,-0.016,-0.766,0.132,0.12,0.246,3.567,22
NH,New Hampshire,43.1939,-71.5724,-1.048,-0.422,0.748,-0.897,1.08,0.778,0.238,3.6,23
NJ,New Jersey,40.0583,-74.4057,-0.148,0.022,0.05,-0.366,-0.314,0.904,0.149,3.571,24
TN,Tennessee,35.5175,-86.5804,0.455,-0.625,0.061,-0.48,0.593,0.028,0.032,3.516,25
AR,Arkansas,34.9697,-92.3731,0.649,-0.124,-0.642,-0.19,0.138,0.187,0.018,3.453,26
DE,Delaware,38.9108,-75.5277,0.097,0.135,-0.02,-0.89,-0.992,1.666,-0.003,3,27
MD,Maryland,39.0458,-76.6413,0.094,-0.088,0.062,-0.788,-0.544,1.195,-0.068,3.5,28
VA,Virginia,37.4316,-78.6569,0.298,0.027,0.316,-0.951,0.153,-0.625,-0.094,3.419,29
PA,Pennsylvania,41.2033,-77.1945,-0.405,-0.808,0.517,-0.413,0.972,-0.041,-0.178,3.403,30
MO,Missouri,37.9643,-91.8318,-0.183,0.253,-0.693,0.044,0.49,-0.227,-0.317,3.339,31
LA,Louisiana,30.9843,-91.9623,1.425,-0.412,-0.182,-0.9,-1.062,0.795,-0.336,3.375,32
MS,Mississippi,32.3547,-89.3985,1.082,-0.086,-0.303,-0.667,-0.507,0.089,-0.391,3.232,33
VT,Vermont,44.5588,-72.5778,-1.283,-0.785,0.568,-0.548,1.232,0.408,-0.409,3.214,34
KY,Kentucky,37.8393,-84.27,0.171,-0.688,0.005,-0.439,0.705,-0.215,-0.461,3.317,35
NY,New York,43,-75,-0.777,-1.001,0.468,-0.492,0.388,0.838,-0.576,3.161,36
WV,West Virginia,38.5976,-80.4549,-0.057,-1.377,0.677,-0.811,1.502,-0.528,-0.593,3.109,37
KS,Kansas,39.0119,-98.4842,-0.212,0.979,-1.127,0.484,-0.459,-0.705,-1.041,3.048,38
MI,Michigan,44.3148,-85.6024,-0.992,-1.382,0.783,-0.281,-0.572,1.035,-1.408,2.892,39
