State,avg_severity(0-4),avg_delay_typical(mins),avg_delay_freeflow(mins),avg_distance(mi),avg_visibility(mi),avg_speed_numeric(1-3),avg_speed_text,count_fast,count_moderate,count_slow
AL,1.33,5.21,5.68,3.64,9.06,2.31,2.31 (Moderate),604,535,191
AR,0.92,5.03,5.29,6.43,6.61,2.51,2.51 (Fast),883,344,167
AZ,1.24,3.64,4.47,4.49,9.49,2.54,2.54 (Fast),1458,673,195
CA,1.19,2.91,4.66,4.03,9.62,2.42,2.42 (Moderate),14950,10470,2919
CO,1.13,3.94,4.48,5.25,6.69,2.61,2.61 (Fast),3143,1254,299
CT,1.49,4.27,5.62,5.06,8.34,2.55,2.55 (Fast),1943,1067,177
DC,1.15,3.49,4.77,2.45,8.93,1.53,1.53 (Moderate),13,208,221
DE,1.14,3.96,4.56,4.28,7.52,2.18,2.18 (Moderate),195,237,101
FL,0.87,3.14,4.24,2.93,9.56,2.06,2.06 (Moderate),4614,6368,3702
GA,1.25,3.74,4.84,3.73,9.4,2.34,2.34 (Moderate),3146,2521,931
IA,1.01,4.2,4.35,7.36,4.47,2.74,2.74 (Fast),601,117,40
ID,1.26,4.66,5.05,5.81,7.51,2.62,2.62 (Fast),240,66,30
IL,1.14,4.14,5.38,5.65,6.56,2.41,2.41 (Moderate),4671,3102,1051
IN,1.09,4.3,4.63,5.71,5.99,2.59,2.59 (Fast),2415,884,290
KS,1.08,4.4,4.47,7.76,5.04,2.83,2.83 (Fast),991,133,29
KY,1.14,5.17,5.69,5.6,6.84,2.44,2.44 (Moderate),993,616,201
LA,1.23,4.56,5.73,3.53,9.29,2.22,2.22 (Moderate),770,826,337
MA,1.12,3.72,4.8,4.37,7.94,2.33,2.33 (Moderate),2423,1756,801
MD,1.28,3.86,4.73,4.35,8.11,2.47,2.47 (Moderate),2281,1615,294
ME,1.12,4.29,4.63,5.38,5.83,2.37,2.37 (Moderate),260,74,99
MI,1.25,4.45,4.72,4.61,7.01,2.43,2.43 (Moderate),1783,1057,396
MN,1.06,3.88,4.33,4.6,7.67,2.49,2.49 (Moderate),788,481,112
MO,1.09,4.13,4.34,6.81,5.6,2.71,2.71 (Fast),2087,498,144
MS,1.19,5.84,6.09,5.41,8.32,2.47,2.47 (Moderate),326,163,67
MT,1.38,3.92,4.23,6.93,6.19,2.74,2.74 (Fast),316,36,33
NC,1.07,4.58,5.03,4.7,7.94,2.48,2.48 (Moderate),2425,1367,412
ND,1.02,4.03,4.32,7.8,5.78,2.8,2.80 (Fast),333,18,29
NE,1.13,5.38,5.55,7.19,7.06,2.7,2.70 (Fast),277,47,30
NH,1.15,4.42,4.87,6.3,5.15,2.53,2.53 (Fast),346,173,45
NJ,1.09,4.11,4.84,4.03,7.61,2.21,2.21 (Moderate),1756,1808,844
NM,1.1,5.44,5.68,6.35,7.17,2.45,2.45 (Moderate),679,182,202
NV,1.34,5.22,5.44,5.85,8.54,2.63,2.63 (Fast),275,75,33
NY,0.94,2.94,4.75,3.42,8.29,1.86,1.86 (Moderate),3827,5600,5997
OH,1.01,4.27,4.53,6.14,5.09,2.64,2.64 (Fast),3134,1112,257
OK,0.88,3.78,4.04,6.33,6.31,2.71,2.71 (Fast),1935,498,120
OR,1.35,3.8,4.78,4.86,8.99,2.46,2.46 (Moderate),949,589,169
PA,1.26,4.29,4.97,4.84,7.04,2.51,2.51 (Fast),3385,1905,467
RI,1.28,4.07,4.57,3.98,7.55,2.24,2.24 (Moderate),167,153,74
SC,1.16,5.01,5.49,4.04,8.59,2.39,2.39 (Moderate),1470,1133,320
SD,1.14,3.75,3.88,7.23,7.16,2.79,2.79 (Fast),102,6,9
TN,1.23,4.47,5.25,3.86,8.76,2.31,2.31 (Moderate),1530,1755,389
TX,1.11,3.88,4.68,4.6,9.03,2.36,2.36 (Moderate),9928,7819,2589
UT,1.21,4.64,4.93,5.34,8.25,2.4,2.40 (Moderate),457,206,136
VA,1.2,4.92,5.56,4.84,7.8,2.46,2.46 (Moderate),2747,1836,442
VT,1.13,4.52,4.66,6.59,3.69,2.66,2.66 (Fast),286,47,39
WA,1.28,3.34,4.97,4.42,9.14,2.46,2.46 (Moderate),1796,1014,339
WI,1.09,4.02,4.41,5.22,7.22,2.55,2.55 (Fast),504,217,69
WV,1.04,4.68,4.99,5.83,5.29,2.48,2.48 (Moderate),517,216,113
WY,1.27,4.84,5.03,7.59,6.12,2.74,2.74 (Fast),529,46,58
